ImageId,Label,Confidence,time,ActLabel,XDAT
0, 0, 0, 1616176793857.625, 0, 0 
29628, 9, 1.093479439173004, 1616176796184.312, 9.0, 130 
6736, 1, 1.046837488252512, 1616176799973.9111, 1.0, 130 
3889, 2, 1.0227180969986986, 1616176804354.0498, 2.0, 130 
49363, 7, 1.0708211972288324, 1616176806755.0918, 7.0, 130 
33194, 1, 1.0623709190201533, 1616176808411.0168, 1.0, 130 
23031, 8, 1.0656689604518188, 1616176810377.0708, 8.0, 130 
42607, 8, 1.0533635014544127, 1616176811948.88, 8.0, 130 
31271, 2, 0.1485048052830111, 1616176817708.623, 4.0, 130 
47112, 6, 0.15841869821263277, 1616176821692.601, 8.0, 130 
