ImageId,Label,Confidence
24999, 4, 1.0958691984772817 
25037, 5, 1.0869953930075522 
24999, 4, 1.07681138272939 
24999, 4, 1.0946150665713255 
24999, 4, 1.1067412132476948 
25797, 5, 1.1087171441096162 
46001, 9, 1.107932958284811 
46677, 9, 1.1112102862393167 
2475, 0, 1.103308170520802 
27532, 4, 1.0831052364186988 
12369, 2, 1.0967220446827668 
28204, 5, 1.0779054901493177 
27532, 5, 1.0780750776516692 
13218, 2, 1.0830076879776702 
47834, 9, 1.0854330191672903 
24999, 4, 1.0921462138885552 
20002, 4, 1.07387810171386 
26920, 5, 0.5150087005266885 
36784, 7, 1.0854556950799987 
25037, 5, 1.0790098610672427 
23851, 4, 1.102134089170204 
26080, 5, 1.1037565115482666 
32571, 6, 0.7843561112858541 
33086, 6, 0.7957992266786247 
38914, 7, 1.0831817507196921 
13279, 6, 0.6556096379764066 
44448, 8, 0.7501628416368014 
23543, 4, 1.0441055482264312 
8442, 1, 1.0767940214491363 
14665, 2, 1.0767756828301736 
6881, 1, 0.9764455386271927 
11481, 2, 0.9909829711569498 
35292, 6, 0.9923396064428138 
26242, 5, 0.9777194805677818 
13337, 8, 0.9859935398874223 
48034, 9, 0.987410220476764 
39585, 5, 0.948094956578291 
20952, 4, 0.9490566803418431 
5976, 1, 0.7255919845096691 
17306, 3, 0.9579463352062715 
46415, 9, 0.978986578248866 
3492, 0, 0.9548673081192971 
34221, 6, 0.9719203902379475 
872, 0, 1.0147305524469317 
19481, 3, 0.8692789159218003 
9506, 1, 0.8682379920589495 
5375, 1, 0.8870686024893067 
46026, 9, 0.9851972962631752 
47333, 9, 0.9119675929716343 
21035, 7, 0.9799997189897194 
4940, 0, 0.7977689400832658 
4909, 0, 0.8640027194588847 
28934, 5, 0.8832484264316516 
47841, 6, 0.32480121982933213 
14037, 2, 0.8469505276074458 
22187, 8, 1.01424508125035 
14961, 8, 0.9986232159645608 
14845, 2, 0.7604348148440616 
48360, 9, 0.4458854774129171 
16211, 9, 0.2853006152263669 
44691, 7, 0.9992268674948136 
